episode,block,version,first_version_in_block,block_started_utc,policy,final_status,report_flag,decision_rule,attempts_consumed,consumed_attempt_ids,research_only_attempt_ids,prefix_categories,indicator,indicator_value,prefix_elapsed_s,indeterminate_reason
etcd5509,13,V_bad,V_bad,2026-09-22T21:45:42.341142Z,P3-retain,BLOCK,,P3-retain: P3's prefix and decision; accept after a failure is flagged,3,a1:seq73:2215574cc07f a2:seq74:eadaa9d97597 a3:seq75:6447c28e3715,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS,S,1,130.385,
etcd5509,13,V_ok,V_bad,2026-09-22T21:47:52.728612Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq76:98d9cf38ccfb,a2:seq77:c92e1fea21a0 a3:seq78:3a7ff38457e8,PASS,N,0,0.698,
etcd5509,13,V_ok,V_bad,2026-09-22T21:47:52.728612Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq76:98d9cf38ccfb,a2:seq77:c92e1fea21a0 a3:seq78:3a7ff38457e8,PASS,N,0,0.698,
etcd5509,13,V_ok,V_bad,2026-09-22T21:47:52.728612Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq76:98d9cf38ccfb,a2:seq77:c92e1fea21a0 a3:seq78:3a7ff38457e8,PASS,N,0,0.698,
etcd5509,14,V_bad,V_ok,2026-09-22T21:47:57.336392Z,P1,BLOCK,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq82:c7ba724ee256,a2:seq83:29d88fa68704 a3:seq84:dd1c03306ec8,FOCAL_DEFECT_WITNESS,S,1,43.544,
etcd5509,14,V_bad,V_ok,2026-09-22T21:47:57.336392Z,P3,BLOCK,,P3: stop at first zero and accept; block after 3 nonzero,3,a1:seq82:c7ba724ee256 a2:seq83:29d88fa68704 a3:seq84:dd1c03306ec8,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS,S,1,130.507,
etcd5509,14,V_bad,V_ok,2026-09-22T21:47:57.336392Z,P3-retain,BLOCK,,P3-retain: P3's prefix and decision; accept after a failure is flagged,3,a1:seq82:c7ba724ee256 a2:seq83:29d88fa68704 a3:seq84:dd1c03306ec8,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS,S,1,130.507,
etcd5509,14,V_ok,V_ok,2026-09-22T21:47:55.369510Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq79:921bafbcce98,a2:seq80:de601a718f6f a3:seq81:74d170152559,PASS,N,0,0.644,
etcd5509,14,V_ok,V_ok,2026-09-22T21:47:55.369510Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq79:921bafbcce98,a2:seq80:de601a718f6f a3:seq81:74d170152559,PASS,N,0,0.644,
etcd5509,14,V_ok,V_ok,2026-09-22T21:47:55.369510Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq79:921bafbcce98,a2:seq80:de601a718f6f a3:seq81:74d170152559,PASS,N,0,0.644,
